"index","SEM 1 SGPA","SEM 1 KT","SEM 2 SGPA","SEM 2 KT","SEM 3 SGPA","SEM 3 KT","SEM 4 SGPA","SEM 4 KT","SEM 5 SGPA","SEM 5 KT","SEM 6 SGPA","SEM 6 KT","SEM 7 SGPA","SEM 7 KT","SEM 8 SGPA","Hours_On_Assignment","Hours_On_Studies","Travel_Time","Attendance","Internet_Availability","Internet_Speed","Mode_Of_Transportation","2_hrs_lect","Submissions","5_hrs_lect","5_hrs_pracs","Coaching_classes","Teacher's Feedback","Label","Scocial_Skills","Average pointer","Cleaned_Feedback"
"226","4.79","1","4.59","1","4.67","2.0","4.12","2.0","4.28","0","4.29","0.0","4.87","0","4.32","0","0","2","5","1","0","3","0","1","0","0","0","Disappointed performance","0","0","4.49125","disappoint perform"
"227","3.6","1","3.5","1","4.2","2.0","4.1","2.0","3.65","0","4.7","0.0","3.13","0","4.65","0","0","3","5","1","0","1","0","1","0","0","0","Needs improvement","0","0","3.94125","need improv"
"228","3.9","1","3.7","2","4.4","2.0","4.5","3.0","4.12","0","4.59","0.0","3.5","0","4.9","0","0","3","5","1","0","1","0","1","0","0","0","Does not follow my lecture and Very talkative","0","0","4.20125","follow lectur talkat"
"229","3.6","2","3.9","1","4.2","1.0","4.8","1.0","3.21","0","3.58","0.0","3.21","0","3.47","0","0","2","5","1","0","1","0","1","0","0","0","Very talkative and Poor attendance","0","0","3.74625","talkat poor attend"
"230","9.52","0","9.24","0","10.0","0.0","9.8","0.0","9.9","0","9.6","0.0","9.8","0","10.0","0","1","3","1","1","0","2","1","1","1","1","0","Self-Motivated","1","0","9.7325",""
"231","7.7","0","7.63","0","9.85","0.0","8.8","0.0","8.5","0","8.4","0.0","8.0","0","7.9","1","1","1","2","1","0","1","1","1","1","1","0","Respectful to Authority and Others","1","0","8.3475","respect author other"
"232","9.08","0","9.62","0","9.48","0.0","9.4","0.0","9.2","0","9.3","0.0","9.5","0","9.1","0","0","3","1","1","0","3","0","1","1","1","0","Willingness to Put Forth Effort","1","1","9.335","willing put forth effort"
"233","6.15","0","6.09","0","6.0","0.0","7.1","0.0","6.1","0","6.3","0.0","6.7","0","6.7","1","1","3","2","1","0","3","1","1","1","1","0","Hard working","1","0","6.3925","hard work"
"234","3.25","2","3.7","2","4.2","1.0","4.13","1.0","3.78","0","3.9","0.0","4.68","0","4.68","0","0","2","5","1","0","2","0","1","0","0","0","Very talkative","0","0","4.04","talkat"
"235","7.87","0","7.15","0","7.42","0.0","7.5","0.0","7.8","0","7.4","0.0","7.2","0","8.0","0","0","3","2","1","0","3","0","1","1","0","0","Responsible","1","1","7.5425","respons"
"236","6.89","0","7.0","0","6.2","0.0","6.4","0.0","7.02","0","8.17","0.0","8.6","0","8.5","0","0","1","3","1","0","1","0","1","0","1","0","Self-Motivated","1","0","7.3475",""
"237","7.56","0","8.41","0","9.46","0.0","9.3","0.0","9.5","0","9.4","0.0","8.0","0","8.1","0","0","3","1","1","0","1","1","1","1","1","0","Willingness to Put Forth Effort","1","0","8.71625","willing put forth effort"
"238","4.1","1","4.3","1","3.9","1.0","3.75","1.0","4.12","0","3.3","0.0","4.12","0","4.12","0","0","3","5","1","0","3","0","1","0","0","0","Bunk lectuer","0","0","3.96375","bunk lectuer"
"239","3.8","3","4.8","3","3.2","2.0","4.9","1.0","4.85","0","4.07","0.0","4.6","0","3.6","0","0","2","5","1","0","2","0","1","0","0","1","Does not follow my lecture","0","0","4.2275","follow lectur"
"240","4.7","1","4.73","1","4.32","2.0","4.55","2.0","4.45","0","4.45","0.0","4.13","0","3.63","0","0","3","5","1","0","3","0","1","0","0","0","Very talkative","0","0","4.37","talkat"
"241","8.12","0","7.93","0","8.0","0.0","8.1","0.0","8.3","0","8.2","0.0","8.4","0","8.1","0","0","3","2","1","0","3","1","1","1","1","0","Good but can be better","1","0","8.14375","good better"
"242","4.4","1","4.9","1","4.2","4.0","3.7","0.0","3.52","0","4.55","0.0","3.5","0","3.8","0","0","3","5","1","0","1","0","0","0","0","0","Needs improvement","0","0","4.07125","need improv"
"243","6.2","0","6.23","0","5.9","0.0","5.7","0.0","6.5","0","6.3","0.0","6.1","0","5.3","0","0","1","1","1","0","1","1","1","1","1","0","Disciplined and hard working","1","0","6.02875","disciplin hard work"
"244","8.19","0","9.24","0","7.1","","8.1","0.0","8.67","0","6.0","0.0","6.2","0","5.9","0","1","3","2","1","0","3","1","1","1","1","0","Solid Social and Emotional Skills","1","0","7.425","solid social emot skill"
"245","3.6","2","3.8","2","3.7","2.0","4.1","3.0","3.46","0","4.6","0.0","3.46","0","4.0","0","0","1","5","1","0","1","0","1","0","0","0","Lagging Behind","0","0","3.84","lag behind"
"246","4.97","1","4.87","2","4.15","1.0","4.0","1.0","4.13","0","4.16","0.0","4.78","0","4.44","0","0","2","5","1","0","1","0","0","0","0","0","Does not follow my lecture","0","0","4.4375","follow lectur"
"247","5.7","2","5.85","1","5.6","2.0","6.0","0.0","6.1","0","6.2","0.0","6.15","0","5.9","0","0","2","3","1","0","1","1","1","1","1","0","Respectful to Authority and Others","1","0","5.9375","respect author other"
"248","5.67","0","5.8","1","5.17","0.0","5.6","0.0","5.9","0","5.9","0.0","7.0","0","7.1","0","0","3","1","1","0","1","0","1","0","0","1","Respectful to Authority and Others","1","0","6.0175","respect author other"
"249","8.67","0","8.12","0","7.98","0.0","9.18","0.0","9.17","0","9.17","0.0","9.3","0","9.0","0","0","2","3","1","0","1","0","1","1","1","0","Excellent performance","1","1","8.82375","excel perform"
"250","7.2","1","8.43","1","8.88","1.0","6.3","0.0","5.9","0","8.0","0.0","9.8","0","6.9","0","0","3","2","1","0","2","0","1","0","1","0","Eagerness to Learn","1","1","7.67625","eager learn"
"251","6.67","1","8.41","2","8.0","1.0","6.2","0.0","7.5","0","8.6","0.0","8.0","0","7.1","0","0","2","2","1","0","1","0","0","0","1","0","Excellent performance","1","0","7.56","excel perform"
"252","8.3","0","8.7","0","8.2","0.0","8.1","0.0","8.2","0","5.9","0.0","8.77","0","6.1","0","0","3","2","1","0","3","0","1","1","0","0","Willingness to Put Forth Effort","1","1","7.78375","willing put forth effort"
"253","3.8","2","3.6","1","3.4","3.0","3.7","2.0","3.45","0","4.25","9.0","3.45","0","4.01","0","0","2","5","1","0","1","0","1","0","0","0","Very talkative","0","0","3.7075","talkat"
"254","3.8","1","4.2","2","4.6","2.0","3.5","2.0","4.74","0","3.72","0.0","4.74","0","4.12","0","0","3","3","1","0","1","0","0","0","0","0","Argues with teacher and Bunk lectuer","0","0","4.1775","argu teacher bunk lectuer"
"255","5.8","0","5.9","0","5.92","0.0","6.0","0.0","6.1","0","6.3","0.0","6.5","0","6.4","0","0","2","2","0","0","2","0","1","1","1","0","Willingness to Put Forth Effort","1","0","6.115","willing put forth effort"
"256","6.6","2","6.1","2","5.9","1.0","6.2","0.0","6.9","0","6.0","0.0","8.5","0","5.6","0","1","3","2","1","0","1","0","1","0","1","0","Excellent performance","1","1","6.475","excel perform"
"257","8.71","0","6.8","0","8.0","0.0","8.0","0.0","7.6","0","7.6","0.0","6.15","0","6.8","0","0","2","3","1","0","3","0","1","1","0","0","Good leadership skills","1","0","7.4575","good leadership skill"
"258","7.6","0","8.4","0","7.78","0.0","7.9","0.0","7.8","0","8.0","0.0","8.1","0","8.2","0","1","2","1","1","0","2","1","1","1","1","0","Eagerness to Learn","1","0","7.9725","eager learn"
"259","5.5","2","5.2","2","5.85","0.0","5.9","0.0","5.7","0","5.6","0.0","5.3","0","5.7","0","0","2","3","1","0","1","0","1","1","1","0","Good but can be better","1","1","5.59375","good better"
"260","4.1","3","3.2","1","3.6","2.0","3.4","2.0","4.2","0","4.69","0.0","4.2","0","4.78","0","0","3","5","1","0","1","0","1","0","0","0","Argues with teacher and Bunk lectuer","0","0","4.02125","argu teacher bunk lectuer"
"261","8.3","0","8.96","0","8.0","0.0","7.6","0.0","6.2","0","8.6","0.0","5.6","0","9.0","0","0","3","1","1","0","3","1","1","1","0","0","Good but can be better","1","0","7.7825","good better"
